,Adsorbate 1,Adsorbate 2,num of Atoms,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average EA,Average num of Valence Electron,PE 1 minus PE 2,Covalent Radius 1 minus Covalent Radius 2,VdW Radius 1 minus VdW Radius 2,FIE 1 minus FIE 2,EA 1 minus EA 2,num of Valence 1 minus num of Valence 2,Average VdW Radius squared,Difference,Gdiff_ML,Gdiff_Final
23,OH,C,1.5,5.25,2.69,0.62,12.43,1.18,5.5,0.27,0.27,0.34,2.35,0.16,3.0,2.34,-0.050730000000000004,-0.05033700540661812,-0.050730000000000004
24,OH,CH,2.0,4.0,2.6,0.51,13.02,1.06,6.0,0.45,0.06,0.09,1.18,0.1,2.0,1.97,-0.16262000000000001,-0.1624424308538437,-0.16262000000000001
25,OH,CH2,2.5,3.58,2.57,0.47,13.21,1.01,6.5,0.5,0.02,0.01,0.79,0.18,1.0,1.86,,-0.30475863814353943,-0.30475863814353943
26,OH,CH3,3.0,3.38,2.55,0.46,13.31,0.99,7.0,0.53,0.05,0.03,0.59,0.23,0.0,1.8,,-0.32402339577674866,-0.32402339577674866
27,OH,S,1.5,10.25,2.7,0.76,11.98,1.59,6.5,0.24,0.55,0.44,3.25,0.97,1.0,2.5,,-0.021370626986026764,-0.021370626986026764
28,OH,SH,2.0,6.5,2.61,0.58,12.79,1.26,7.0,0.43,0.2,0.14,1.63,0.31,0.0,2.04,,-0.13138945400714874,-0.13138945400714874
29,OH,SH2,2.5,5.25,2.57,0.52,13.06,1.15,7.5,0.49,0.08,0.04,1.09,0.09,1.0,1.9,-0.39703,-0.39663389325141907,-0.39703
30,OH,F,1.5,6.75,3.4,0.56,15.52,2.25,7.0,1.16,0.16,0.11,3.81,2.29,0.0,2.0,-0.13604000000000002,-0.13506366312503815,-0.13604000000000002
31,OH,Cl,1.5,10.75,2.99,0.74,13.29,2.36,7.0,0.34,0.51,0.39,0.64,2.51,0.0,2.42,,-0.043288394808769226,-0.043288394808769226
32,OH,Br,1.5,19.75,2.89,0.81,12.71,2.24,7.0,0.14,0.66,0.49,1.79,2.26,0.0,2.58,,-0.04697515070438385,-0.04697515070438385
