,Adsorbate 1,Adsorbate 2,num of Atoms,Average Atomic num,Average PE,Average Covalent Radius,Average FIE,Average EA,Average VdW Radius,Average num of Valence Electron,PE 1 minus PE 2,Covalent Radius 1 minus Covalent Radius 2,FIE 1 minus FIE 2,num of Valence 1 minus num of Valence 2,IE 1 minus IE 2,G_C2O2 - Gco,Gc-c_ML,Gc-c_Final
170,S,O,1.0,12.0,3.01,0.83,11.99,1.77,1.66,6.0,0.86,0.4,3.26,0.0,3.26,,0.29240044951438904,0.29240044951438904
171,S,OH,1.5,10.25,2.7,0.76,11.98,1.59,1.58,6.5,0.24,0.55,3.25,1.0,2.66,,0.2901621460914612,0.2901621460914612
172,S,N,1.0,11.5,2.81,0.87,12.45,1.0,1.68,5.5,0.46,0.32,4.17,1.0,4.17,0.14989,0.1499316692352295,0.14989
173,S,NH,1.5,10.0,2.6,0.78,12.21,1.21,1.59,6.0,0.04,0.51,3.71,0.0,2.44,,0.09154798835515976,0.09154798835515976
174,S,NH2,2.0,9.5,2.53,0.74,12.14,1.28,1.56,6.5,0.1,0.58,3.55,1.0,0.42,0.1277,0.1277661919593811,0.1277
175,S,NH3,2.5,9.25,2.5,0.73,12.1,1.31,1.54,7.0,0.17,0.61,3.47,2.0,0.29,,0.030176939442753792,0.030176939442753792
176,S,C,1.0,11.0,2.57,0.89,10.81,1.67,1.75,5.0,0.03,0.28,0.9,2.0,0.9,,0.20492088794708252,0.20492088794708252
177,S,CH,1.5,9.75,2.48,0.79,11.39,1.54,1.63,5.5,0.21,0.49,2.07,1.0,0.28,,0.20479382574558258,0.20479382574558258
178,S,CH2,2.0,9.33,2.45,0.75,11.59,1.5,1.58,6.0,0.26,0.57,2.46,0.0,0.04,,0.3067935109138489,0.3067935109138489
179,S,CH3,2.5,9.13,2.43,0.73,11.69,1.48,1.56,6.5,0.29,0.6,2.65,1.0,0.52,0.22853,0.2296086549758911,0.22853
180,S,S,1.0,16.0,2.58,1.03,10.36,2.08,1.8,6.0,0.0,0.0,0.0,0.0,0.0,,0.3321400582790375,0.3321400582790375
181,S,SH,1.5,12.25,2.49,0.86,11.17,1.75,1.65,6.5,0.19,0.35,1.62,1.0,0.06,0.20593000000000003,0.20553497970104218,0.20593000000000003
182,S,SH2,2.0,11.0,2.45,0.8,11.44,1.64,1.6,7.0,0.25,0.47,2.16,2.0,0.1,,0.20351867377758026,0.20351867377758026
183,S,F,1.0,12.5,3.28,0.84,13.89,2.74,1.64,6.5,1.4,0.39,7.06,1.0,7.06,,0.152115598320961,0.152115598320961
184,S,Cl,1.0,16.5,2.87,1.01,11.66,2.84,1.78,6.5,0.58,0.04,2.61,1.0,2.61,,0.24434000253677368,0.24434000253677368
185,S,Br,1.0,25.5,2.77,1.09,11.09,2.72,1.83,6.5,0.38,0.11,1.45,1.0,1.45,,0.2013504058122635,0.2013504058122635
186,S,I,1.0,34.5,2.62,1.18,10.41,2.57,1.89,6.5,0.08,0.3,0.09,1.0,0.09,,0.25488603115081787,0.25488603115081787
187,SH,O,1.5,8.25,2.92,0.66,12.8,1.44,1.51,6.5,1.05,0.05,1.64,1.0,3.2,,0.06228908523917198,0.06228908523917198
188,SH,OH,2.0,6.5,2.61,0.58,12.79,1.26,1.43,7.0,0.43,0.2,1.63,0.0,2.6,,0.10043162852525711,0.10043162852525711
189,SH,N,1.5,7.75,2.72,0.7,13.26,0.67,1.53,6.0,0.65,0.03,2.56,2.0,4.11,,0.08869230002164841,0.08869230002164841
190,SH,NH,2.0,6.25,2.51,0.6,13.02,0.88,1.44,6.5,0.23,0.16,2.09,1.0,2.38,,0.10929974168539047,0.10929974168539047
191,SH,NH2,2.5,5.75,2.44,0.57,12.94,0.95,1.41,7.0,0.09,0.23,1.93,0.0,0.36,,0.11907707899808884,0.11907707899808884
192,SH,NH3,3.0,5.5,2.4,0.55,12.91,0.98,1.39,7.5,0.02,0.26,1.85,1.0,0.35,,0.1026962623000145,0.1026962623000145
193,SH,C,1.5,7.25,2.47,0.72,11.62,1.34,1.6,5.5,0.16,0.07,0.72,3.0,0.84,,0.21563534438610077,0.21563534438610077
194,SH,CH,2.0,6.0,2.38,0.61,12.2,1.21,1.48,6.0,0.02,0.14,0.45,2.0,0.22,0.04757,0.04776930436491966,0.04757
195,SH,CH2,2.5,5.58,2.35,0.57,12.4,1.17,1.43,6.5,0.07,0.22,0.84,1.0,0.02,0.09286,0.09303557872772217,0.09286
196,SH,CH3,3.0,5.38,2.34,0.56,12.5,1.15,1.41,7.0,0.1,0.25,1.03,0.0,0.58,,0.09853718429803848,0.09853718429803848
197,SH,S,1.5,12.25,2.49,0.86,11.17,1.75,1.65,6.5,0.19,0.35,1.62,1.0,0.06,0.20593000000000003,0.20553497970104218,0.20593000000000003
198,SH,SH,2.0,8.5,2.39,0.68,11.98,1.42,1.5,7.0,0.0,0.0,0.0,0.0,0.0,,0.3321400582790375,0.3321400582790375
199,SH,SH2,2.5,7.25,2.36,0.62,12.25,1.31,1.45,7.5,0.06,0.12,0.54,1.0,0.04,-0.02999,-0.029980674386024475,-0.02999
200,SH,F,1.5,8.75,3.19,0.66,14.7,2.41,1.49,7.0,1.59,0.04,5.44,0.0,7.0,0.065,0.06527532637119293,0.065
201,SH,Cl,1.5,12.75,2.78,0.84,12.47,2.51,1.63,7.0,0.77,0.31,0.99,0.0,2.55,,0.09090074896812439,0.09090074896812439
202,SH,Br,1.5,21.75,2.68,0.91,11.9,2.39,1.68,7.0,0.57,0.46,0.16,0.0,1.39,0.25777,0.25771260261535645,0.25777
203,SH,I,1.5,30.75,2.53,1.01,11.22,2.24,1.74,7.5,0.27,0.65,1.53,1.0,0.03,,0.301970899105072,0.301970899105072
204,SH2,O,2.0,7.0,2.88,0.6,13.07,1.33,1.46,7.0,1.11,0.07,1.1,2.0,3.16,,0.10229276120662689,0.10229276120662689
205,SH2,OH,2.5,5.25,2.57,0.52,13.06,1.15,1.38,7.5,0.49,0.08,1.09,1.0,2.56,-0.07377,-0.07365413755178452,-0.07377
206,SH2,N,2.0,6.5,2.68,0.64,13.53,0.56,1.48,6.5,0.71,0.15,2.02,3.0,4.07,,0.07814016938209534,0.07814016938209534
207,SH2,NH,2.5,5.0,2.47,0.54,13.29,0.77,1.39,7.0,0.29,0.04,1.55,2.0,2.34,,-0.0076167648658156395,-0.0076167648658156395
208,SH2,NH2,3.0,4.5,2.4,0.51,13.21,0.84,1.36,7.5,0.15,0.11,1.39,1.0,0.32,,0.14255966246128082,0.14255966246128082
209,SH2,NH3,3.5,4.25,2.37,0.49,13.18,0.87,1.34,8.0,0.08,0.14,1.31,0.0,0.39,,0.08996642380952835,0.08996642380952835
210,SH2,C,2.0,6.0,2.44,0.66,11.89,1.23,1.55,6.0,0.22,0.19,1.26,4.0,0.8,,0.20404288172721863,0.20404288172721863
211,SH2,CH,2.5,4.75,2.35,0.55,12.47,1.1,1.43,6.5,0.05,0.02,0.09,3.0,0.18,,0.07871957123279572,0.07871957123279572
212,SH2,CH2,3.0,4.33,2.32,0.51,12.67,1.06,1.38,7.0,0.01,0.1,0.3,2.0,0.06,0.10037,0.10076022893190384,0.10037
213,SH2,CH3,3.5,4.13,2.31,0.5,12.77,1.04,1.36,7.5,0.04,0.13,0.49,1.0,0.62,,0.0893523320555687,0.0893523320555687
214,SH2,S,2.0,11.0,2.45,0.8,11.44,1.64,1.6,7.0,0.25,0.47,2.16,2.0,0.1,,0.20351867377758026,0.20351867377758026
215,SH2,SH,2.5,7.25,2.36,0.62,12.25,1.31,1.45,7.5,0.06,0.12,0.54,1.0,0.04,-0.02999,-0.029980674386024475,-0.02999
216,SH2,SH2,3.0,6.0,2.33,0.56,12.52,1.2,1.4,8.0,0.0,0.0,0.0,0.0,0.0,,0.13076752424240112,0.13076752424240112
217,SH2,F,2.0,7.5,3.15,0.6,14.97,2.3,1.44,7.5,1.65,0.08,4.9,1.0,6.96,0.11066,0.1104642003774643,0.11066
218,SH2,Cl,2.0,11.5,2.74,0.78,12.74,2.4,1.58,7.5,0.83,0.43,0.45,1.0,2.51,,0.08907769620418549,0.08907769620418549
219,SH2,Br,2.0,20.5,2.64,0.85,12.17,2.28,1.63,7.5,0.63,0.58,0.7,1.0,1.35,,0.11427493393421173,0.11427493393421173
220,SH2,I,2.0,29.5,2.49,0.95,11.48,2.13,1.69,7.5,0.33,0.77,2.07,1.0,0.01,,0.3012833595275879,0.3012833595275879
221,F,O,1.0,8.5,3.71,0.64,15.52,2.43,1.5,6.5,0.54,0.01,3.8,1.0,3.8,,0.026939023286104202,0.026939023286104202
222,F,OH,1.5,6.75,3.4,0.56,15.52,2.25,1.42,7.0,1.16,0.16,3.81,0.0,4.4,0.09512000000000001,0.09550102800130844,0.09512000000000001
223,F,N,1.0,8.0,3.51,0.68,15.98,1.67,1.51,6.0,0.94,0.07,2.89,2.0,2.89,,0.08216149359941483,0.08216149359941483
224,F,NH,1.5,6.5,3.3,0.58,15.74,1.87,1.42,6.5,1.36,0.12,3.36,1.0,4.62,,-0.08745722472667694,-0.08745722472667694
225,F,NH2,2.0,6.0,3.23,0.55,15.67,1.94,1.39,7.0,1.5,0.19,3.51,0.0,6.64,,0.10043162852525711,0.10043162852525711
226,F,NH3,2.5,5.75,3.2,0.53,15.63,1.97,1.38,7.5,1.57,0.22,3.59,1.0,7.35,,0.10570146888494492,0.10570146888494492
227,F,C,1.0,7.5,3.27,0.7,14.34,2.33,1.59,5.5,1.43,0.11,6.16,3.0,6.16,,0.09163588285446167,0.09163588285446167
228,F,CH,1.5,6.25,3.18,0.59,14.93,2.2,1.46,6.0,1.61,0.1,4.99,2.0,6.78,-0.08787,-0.08772128075361252,-0.08787
229,F,CH2,2.0,5.83,3.15,0.55,15.12,2.16,1.42,6.5,1.66,0.18,4.6,1.0,7.02,,0.17962585389614105,0.17962585389614105
230,F,CH3,2.5,5.63,3.13,0.54,15.22,2.14,1.4,7.0,1.69,0.21,4.41,0.0,7.58,0.18011,0.17962585389614105,0.18011
231,F,S,1.0,12.5,3.28,0.84,13.89,2.74,1.64,6.5,1.4,0.39,7.06,1.0,7.06,,0.152115598320961,0.152115598320961
232,F,SH,1.5,8.75,3.19,0.66,14.7,2.41,1.49,7.0,1.59,0.04,5.44,0.0,7.0,0.065,0.06527532637119293,0.065
233,F,SH2,2.0,7.5,3.15,0.6,14.97,2.3,1.44,7.5,1.65,0.08,4.9,1.0,6.96,0.11066,0.1104642003774643,0.11066
234,F,F,1.0,9.0,3.98,0.64,17.42,3.4,1.47,7.0,0.0,0.0,0.0,0.0,0.0,,0.39767128229141235,0.39767128229141235
235,F,Cl,1.0,13.0,3.57,0.82,15.19,3.51,1.61,7.0,0.82,0.35,4.46,0.0,4.45,,0.41411569714546204,0.41411569714546204
236,F,Br,1.0,22.0,3.47,0.89,14.62,3.38,1.66,7.0,1.02,0.5,5.61,0.0,5.61,,0.41411569714546204,0.41411569714546204
237,F,I,1.0,31.0,3.32,0.99,13.94,3.23,1.73,7.0,1.32,0.69,6.97,0.0,6.97,,0.4158916175365448,0.4158916175365448
238,Cl,O,1.0,12.5,3.3,0.81,13.29,2.54,1.64,6.5,0.28,0.36,0.65,1.0,0.65,0.14972,0.14951281249523163,0.14972
239,Cl,OH,1.5,10.75,2.99,0.74,13.29,2.36,1.56,7.0,0.34,0.51,0.64,0.0,0.05,,0.13468356430530548,0.13468356430530548
240,Cl,N,1.0,12.0,3.1,0.85,13.75,1.77,1.65,6.0,0.12,0.28,1.57,2.0,1.56,,0.07843571901321411,0.07843571901321411
241,Cl,NH,1.5,10.5,2.89,0.76,13.52,1.98,1.56,6.5,0.54,0.47,1.1,1.0,0.17,,0.13728153705596924,0.13728153705596924
242,Cl,NH2,2.0,10.0,2.82,0.72,13.44,2.05,1.53,7.0,0.68,0.54,0.94,0.0,2.19,,0.08659690618515015,0.08659690618515015
243,Cl,NH3,2.5,9.75,2.79,0.71,13.4,2.08,1.52,7.5,0.75,0.57,0.87,1.0,2.9,,0.10034173727035522,0.10034173727035522
244,Cl,C,1.0,11.5,2.86,0.87,12.11,2.44,1.73,5.5,0.61,0.24,1.71,3.0,1.71,,-0.006654853001236916,-0.006654853001236916
245,Cl,CH,1.5,10.25,2.77,0.77,12.7,2.31,1.6,6.0,0.79,0.45,0.54,2.0,2.33,0.0864,0.08650724589824677,0.0864
246,Cl,CH2,2.0,9.83,2.74,0.73,12.89,2.27,1.56,6.5,0.84,0.53,0.15,1.0,2.57,,0.10096732527017593,0.10096732527017593
247,Cl,CH3,2.5,9.63,2.72,0.71,12.99,2.25,1.54,7.0,0.87,0.56,0.05,0.0,3.13,,0.10096732527017593,0.10096732527017593
248,Cl,S,1.0,16.5,2.87,1.01,11.66,2.84,1.78,6.5,0.58,0.04,2.61,1.0,2.61,,0.24434000253677368,0.24434000253677368
249,Cl,SH,1.5,12.75,2.78,0.84,12.47,2.51,1.63,7.0,0.77,0.31,0.99,0.0,2.55,,0.09090074896812439,0.09090074896812439
250,Cl,SH2,2.0,11.5,2.74,0.78,12.74,2.4,1.58,7.5,0.83,0.43,0.45,1.0,2.51,,0.08907769620418549,0.08907769620418549
251,Cl,F,1.0,13.0,3.57,0.82,15.19,3.51,1.61,7.0,0.82,0.35,4.46,0.0,4.45,,0.41411569714546204,0.41411569714546204
252,Cl,Cl,1.0,17.0,3.16,0.99,12.97,3.61,1.75,7.0,0.0,0.0,0.0,0.0,0.0,,0.39767128229141235,0.39767128229141235
253,Cl,Br,1.0,26.0,3.06,1.07,12.39,3.49,1.8,7.0,0.2,0.15,1.15,0.0,1.16,0.25629,0.2568588852882385,0.25629
254,Cl,I,1.0,35.0,2.91,1.16,11.71,3.34,1.87,7.0,0.5,0.34,2.52,0.0,2.52,,0.28843995928764343,0.28843995928764343
255,Br,O,1.0,21.5,3.2,0.89,12.72,2.41,1.69,6.5,0.48,0.51,1.8,1.0,1.81,,0.13722297549247742,0.13722297549247742
256,Br,OH,1.5,19.75,2.89,0.81,12.71,2.24,1.61,7.0,0.14,0.66,1.79,0.0,1.21,,0.13690203428268433,0.13690203428268433
257,Br,N,1.0,21.0,3.0,0.93,13.17,1.65,1.7,6.0,0.08,0.43,2.72,2.0,2.72,,0.09516160190105438,0.09516160190105438
258,Br,NH,1.5,19.5,2.79,0.83,12.94,1.85,1.61,6.5,0.34,0.62,2.25,1.0,0.99,,0.12892025709152222,0.12892025709152222
259,Br,NH2,2.0,19.0,2.72,0.8,12.86,1.92,1.58,7.0,0.48,0.69,2.1,0.0,1.03,,0.1336020827293396,0.1336020827293396
260,Br,NH3,2.5,18.75,2.69,0.78,12.82,1.96,1.57,7.5,0.55,0.72,2.02,1.0,1.74,,0.1336020827293396,0.1336020827293396
261,Br,C,1.0,20.5,2.76,0.95,11.54,2.31,1.78,5.5,0.41,0.39,0.55,3.0,0.55,,0.19601954519748688,0.19601954519748688
262,Br,CH,1.5,19.25,2.67,0.84,12.12,2.19,1.65,6.0,0.59,0.6,0.62,2.0,1.17,0.10082,0.1010139063000679,0.10082
263,Br,CH2,2.0,18.83,2.64,0.8,12.32,2.14,1.61,6.5,0.64,0.68,1.0,1.0,1.41,0.10920999999999999,0.10929300636053085,0.10920999999999999
264,Br,CH3,2.5,18.63,2.62,0.79,12.41,2.12,1.59,7.0,0.67,0.71,1.2,0.0,1.97,,0.13412629067897797,0.13412629067897797
265,Br,S,1.0,25.5,2.77,1.09,11.09,2.72,1.83,6.5,0.38,0.11,1.45,1.0,1.45,,0.2013504058122635,0.2013504058122635
266,Br,SH,1.5,21.75,2.68,0.91,11.9,2.39,1.68,7.0,0.57,0.46,0.16,0.0,1.39,0.25777,0.25771260261535645,0.25777
267,Br,SH2,2.0,20.5,2.64,0.85,12.17,2.28,1.63,7.5,0.63,0.58,0.7,1.0,1.35,,0.11427493393421173,0.11427493393421173
268,Br,F,1.0,22.0,3.47,0.89,14.62,3.38,1.66,7.0,1.02,0.5,5.61,0.0,5.61,,0.41411569714546204,0.41411569714546204
269,Br,Cl,1.0,26.0,3.06,1.07,12.39,3.49,1.8,7.0,0.2,0.15,1.15,0.0,1.16,0.25629,0.2568588852882385,0.25629
270,Br,Br,1.0,35.0,2.96,1.14,11.81,3.36,1.85,7.0,0.0,0.0,0.0,0.0,0.0,,0.3321400582790375,0.3321400582790375
271,Br,I,1.0,44.0,2.81,1.24,11.13,3.21,1.92,7.0,0.3,0.19,1.36,0.0,1.36,,0.1936739683151245,0.1936739683151245
272,I,O,1.0,30.5,3.05,0.98,12.03,2.26,1.75,6.5,0.78,0.7,3.17,1.0,3.17,,0.07688877731561661,0.07688877731561661
273,I,OH,1.5,28.75,2.74,0.91,12.03,2.08,1.67,7.0,0.16,0.85,3.16,0.0,2.57,,0.07969561964273453,0.07969561964273453
274,I,N,1.0,30.0,2.85,1.02,12.49,1.49,1.77,6.0,0.38,0.62,4.08,2.0,4.08,,0.14238996803760529,0.14238996803760529
275,I,NH,1.5,28.5,2.64,0.93,12.26,1.7,1.68,6.5,0.04,0.81,3.62,1.0,2.35,,0.08829482644796371,0.08829482644796371
276,I,NH2,2.0,28.0,2.57,0.89,12.18,1.77,1.65,7.0,0.18,0.88,3.46,0.0,0.33,,0.11293469369411469,0.11293469369411469
277,I,NH3,2.5,27.75,2.54,0.88,12.14,1.8,1.63,7.5,0.25,0.91,3.38,1.0,0.38,,0.11293469369411469,0.11293469369411469
278,I,C,1.0,29.5,2.61,1.04,10.86,2.16,1.84,5.5,0.11,0.58,0.81,3.0,0.81,,0.3130849003791809,0.3130849003791809
279,I,CH,1.5,28.25,2.52,0.94,11.44,2.03,1.72,6.0,0.29,0.79,1.98,2.0,0.19,,0.30130285024642944,0.30130285024642944
280,I,CH2,2.0,27.83,2.49,0.9,11.63,1.99,1.67,6.5,0.34,0.87,2.37,1.0,0.05,,0.3000277280807495,0.3000277280807495
281,I,CH3,2.5,27.63,2.47,0.88,11.73,1.97,1.65,7.0,0.37,0.9,2.56,0.0,0.61,,0.2992865741252899,0.2992865741252899
282,I,S,1.0,34.5,2.62,1.18,10.41,2.57,1.89,6.5,0.08,0.3,0.09,1.0,0.09,,0.25488603115081787,0.25488603115081787
283,I,SH,1.5,30.75,2.53,1.01,11.22,2.24,1.74,7.0,0.27,0.65,1.53,0.0,0.03,,0.301970899105072,0.301970899105072
284,I,SH2,2.0,29.5,2.49,0.95,11.48,2.13,1.69,7.5,0.33,0.77,2.07,1.0,0.01,,0.3012833595275879,0.3012833595275879
285,I,F,1.0,31.0,3.32,0.99,13.94,3.23,1.73,7.0,1.32,0.69,6.97,0.0,6.97,,0.4158916175365448,0.4158916175365448
286,I,Cl,1.0,35.0,2.91,1.16,11.71,3.34,1.87,7.0,0.5,0.34,2.52,0.0,2.52,,0.28843995928764343,0.28843995928764343
287,I,Br,1.0,44.0,2.81,1.24,11.13,3.21,1.92,7.0,0.3,0.19,1.36,0.0,1.36,,0.1936739683151245,0.1936739683151245
288,I,I,1.0,53.0,2.66,1.33,10.45,3.06,1.98,7.0,0.0,0.0,0.0,0.0,0.0,,0.3321400582790375,0.3321400582790375
