,Adsorbate 1,Adsorbate 2,Average Atomic num,Average PE,Average IE,Average num of Valence Electron,PE 1 minus PE 2,Covalent Radius 1 minus Covalent Radius 2,num of Valence 1 minus num of Valence 2,G_CHO - Gco,Ghyd_ML,Ghyd_Final
188,SH,OH,6.5,2.61,11.72,7.0,-0.43,0.2,0.0,,0.22362801432609558,0.22362801432609558
189,SH,N,7.75,2.72,12.48,6.0,-0.65,-0.03,2.0,,0.10798130929470062,0.10798130929470062
190,SH,NH,6.25,2.51,11.61,6.5,-0.23,0.16,1.0,,0.2605920135974884,0.2605920135974884
191,SH,NH2,5.75,2.44,10.6,7.0,-0.09,0.23,0.0,,0.26531827449798584,0.26531827449798584
192,SH,NH3,5.5,2.4,10.25,7.5,-0.02,0.26,-1.0,,0.26296764612197876,0.26296764612197876
193,SH,C,7.25,2.47,10.84,5.5,-0.16,-0.07,3.0,,0.14319154620170593,0.14319154620170593
194,SH,CH,6.0,2.38,10.53,6.0,0.02,0.14,2.0,0.16809000000000002,0.16852806508541107,0.16809000000000002
195,SH,CH2,5.58,2.35,10.41,6.5,0.07,0.22,1.0,0.25574,0.25611579418182373,0.25574
196,SH,CH3,5.38,2.34,10.13,7.0,0.1,0.25,0.0,,0.40568214654922485,0.40568214654922485
197,SH,S,12.25,2.49,10.39,6.5,-0.19,-0.35,1.0,0.22981,0.22966314852237701,0.22981
198,SH,SH,8.5,2.39,10.42,7.0,0.0,0.0,0.0,,0.23452982306480408,0.23452982306480408
199,SH,SH2,7.25,2.36,10.44,7.5,0.06,0.12,-1.0,0.21996,0.21998661756515503,0.21996
200,SH,F,8.75,3.19,13.92,7.0,-1.59,0.04,0.0,0.21958000000000003,0.21950894594192505,0.21958000000000003
201,SH,Cl,12.75,2.78,11.7,7.0,-0.77,-0.31,0.0,,0.2315613031387329,0.2315613031387329
202,SH,Br,21.75,2.68,11.12,7.0,-0.57,-0.46,0.0,0.26969,0.2687358856201172,0.26969
203,SH,I,30.75,2.53,10.44,7.5,-0.27,-0.65,1.0,,0.2379198670387268,0.2379198670387268
204,SH2,O,7.0,2.88,12.04,7.0,-1.11,-0.07,2.0,,0.23444616794586182,0.23444616794586182
205,SH2,OH,5.25,2.57,11.74,7.5,-0.49,0.08,1.0,0.32325,0.3231925368309021,0.32325
206,SH2,N,6.5,2.68,12.5,6.5,-0.71,-0.15,3.0,,0.21821582317352295,0.21821582317352295
207,SH2,NH,5.0,2.47,11.63,7.0,-0.29,0.04,2.0,,0.2889557182788849,0.2889557182788849
208,SH2,NH2,4.5,2.4,10.62,7.5,-0.15,0.11,1.0,,0.3350076377391815,0.3350076377391815
209,SH2,NH3,4.25,2.37,10.27,8.0,-0.08,0.14,0.0,,0.15412983298301697,0.15412983298301697
210,SH2,C,6.0,2.44,10.86,6.0,-0.22,-0.19,4.0,,0.16662479937076569,0.16662479937076569
211,SH2,CH,4.75,2.35,10.55,6.5,-0.05,0.02,3.0,,0.31444302201271057,0.31444302201271057
212,SH2,CH2,4.33,2.32,10.43,7.0,0.01,0.1,2.0,-0.01241,0.01971890963613987,-0.01241
213,SH2,CH3,4.13,2.31,10.15,7.5,0.04,0.13,1.0,,0.14930230379104614,0.14930230379104614
214,SH2,S,11.0,2.45,10.41,7.0,-0.25,-0.47,2.0,,0.23377858102321625,0.23377858102321625
215,SH2,SH,7.25,2.36,10.44,7.5,-0.06,-0.12,1.0,0.21996,0.21979328989982605,0.21996
216,SH2,SH2,6.0,2.33,10.46,8.0,0.0,0.0,0.0,,0.12559276819229126,0.12559276819229126
217,SH2,F,7.5,3.15,13.94,7.5,-1.65,-0.08,1.0,0.15424000000000002,0.15408465266227722,0.15424000000000002
218,SH2,Cl,11.5,2.74,11.72,7.5,-0.83,-0.43,1.0,,0.23269549012184143,0.23269549012184143
219,SH2,Br,20.5,2.64,11.14,7.5,-0.63,-0.58,1.0,,0.24081294238567352,0.24081294238567352
220,SH2,I,29.5,2.49,10.46,7.5,-0.33,-0.77,1.0,,0.2382410317659378,0.2382410317659378
221,F,O,8.5,3.71,15.52,6.5,0.54,0.01,1.0,,0.23634499311447144,0.23634499311447144
222,F,OH,6.75,3.4,15.22,7.0,1.16,0.16,0.0,0.23116,0.2310296893119812,0.23116
223,F,N,8.0,3.51,15.98,6.0,0.94,-0.07,2.0,,0.15682165324687958,0.15682165324687958
224,F,NH,6.5,3.3,15.11,6.5,1.36,0.12,1.0,,0.2290123999118805,0.2290123999118805
225,F,NH2,6.0,3.23,14.1,7.0,1.5,0.19,0.0,,0.23436804115772247,0.23436804115772247
226,F,NH3,5.75,3.2,13.75,7.5,1.57,0.22,-1.0,,0.28409114480018616,0.28409114480018616
227,F,C,7.5,3.27,14.34,5.5,1.43,-0.11,3.0,,0.08964205533266068,0.08964205533266068
228,F,CH,6.25,3.18,14.03,6.0,1.61,0.1,2.0,0.0158,0.08286313712596893,0.0158
229,F,CH2,5.83,3.15,13.91,6.5,1.66,0.18,1.0,,0.25339314341545105,0.25339314341545105
230,F,CH3,5.63,3.13,13.63,7.0,1.69,0.21,0.0,0.28689000000000003,0.286588579416275,0.28689000000000003
